route                n handled(min/med/max)     input(min/med/max)   runs handled>ARM runs input>ARM
bangkok-drift        6 80.3/80.7/90.5           80.4/80.7/82.2       0 0
cannon-flag          6 85.9/87.4/96.3           80.5/81.2/81.6       0 0
croc-bite            6 960.1/1401.2/1976.1      82.1/84.3/87.4       6 0
cursed-number        6 84.3/101.7/108.7         80.4/81.0/82.6       0 0
dice-loser           6 81.0/86.0/92.1           80.9/83.9/85.6       0 0
freeze-tap           6 90.2/96.7/102.6          80.9/81.9/82.5       0 0
how-close-is-near    6 96.1/112.0/135.2         80.7/81.7/83.5       0 0
one-bomb             6 239.7/285.4/787.7        81.2/84.0/92.4       1 0
pinocchio-luck       6 125.1/176.8/210.3        81.3/82.6/84.0       0 0
power-meter          6 101.2/112.3/166.9        80.7/81.7/82.7       0 0
short-stick          6 90.2/111.6/122.4         80.2/81.3/82.7       0 0
timebomb             6 84.1/90.1/95.9           80.8/81.3/82.0       0 0
wire-snip-panic      6 100.5/108.8/126.3        81.6/82.9/83.3       0 0
zero-trigger         6 98.3/105.6/144.8         81.1/81.8/85.6       0 0
