SUPERSEDED 2026-09-16 by per-route-summary-corrected.txt in this directory. This file carries HANDLED gaps without the INPUT-gap columns, and handled gaps are NOT what this probe gates on. Read alone it suggests croc-bite failed a gate; it did not - inputGapsOverArmDelay was 0 on every route in every run. Use per-route-summary-corrected.txt.
route                n min median max
bangkok-drift        6 80.3 80.7 90.5
cannon-flag          6 85.9 87.4 96.3
croc-bite            6 960.1 1401.2 1976.1
cursed-number        6 84.3 101.7 108.7
dice-loser           6 81.0 86.0 92.1
freeze-tap           6 90.2 96.7 102.6
how-close-is-near    6 96.1 112.0 135.2
one-bomb             6 239.7 285.4 787.7
pinocchio-luck       6 125.1 176.8 210.3
power-meter          6 101.2 112.3 166.9
short-stick          6 90.2 111.6 122.4
timebomb             6 84.1 90.1 95.9
wire-snip-panic      6 100.5 108.8 126.3
zero-trigger         6 98.3 105.6 144.8
